record_id,longitude,latitude,speed,heading,navigation_status,mmsi,ship_type,ship_name,timestamp,decode_timestamp,data_timestamp,day_id,date,unixstamp
Bw7E9e5TT1OpBY0Ir_yVNg,111.1491470336914,23.431493759155273,0.0,511,,413860512,,,2024-07-27 11:24:10.070,2024-07-27 11:24:10.279,00:00:00,20240727,2024-07-27,1722050650.07
6_xX9nnXQiG1jYC72uOSFw,111.13927459716797,23.434642791748047,0.0,511,,413866992,,,2024-07-27 11:23:44.640,2024-07-27 11:23:44.833,00:00:00,20240727,2024-07-27,1722050624.64
ZAKGvWvZRCKDiUUeSlz2ZA,111.15282440185547,23.423620223999023,0.0,511,,413859423,,,2024-07-27 11:22:52.770,2024-07-27 11:22:52.794,00:00:00,20240727,2024-07-27,1722050572.77
MUmuwrOwRjCxUKNYzbRCQA,112.72193145751953,22.37789535522461,0.0,511,,413837923,,,2024-07-27 11:22:41.248,2024-07-27 11:22:41.264,00:00:00,20240727,2024-07-27,1722050561.248
kLnYYRfgTSag6qisUO3Wag,113.17921447753906,22.56283187866211,0.1,511,,413841065,,,2024-07-27 11:22:32.068,2024-07-27 11:22:32.089,00:00:00,20240727,2024-07-27,1722050552.068
oQpz9QlCQw2iFOYJDtSkqA,111.14877319335938,23.430458068847656,0.0,511,,413863924,,,2024-07-27 11:21:32.310,2024-07-27 11:21:33.242,00:00:00,20240727,2024-07-27,1722050492.31
BqnRmlmCQoK-loAJQHxOfw,113.21978759765625,21.930923461914062,0.0,511,,413837927,,,2024-07-27 11:21:30.054,2024-07-27 11:21:30.076,00:00:00,20240727,2024-07-27,1722050490.054
or2sZzQtSWOheD7Q31k8FQ,111.1491470336914,23.43149757385254,0.0,511,,413860512,,,2024-07-27 11:21:08.791,2024-07-27 11:21:08.822,00:00:00,20240727,2024-07-27,1722050468.791
aM8V1KFaSP-0vngx5iGuUg,111.13927459716797,23.434677124023438,0.0,511,,413866992,,,2024-07-27 11:20:44.346,2024-07-27 11:20:44.462,00:00:00,20240727,2024-07-27,1722050444.346
cbACXUSdRs2QqO_uVPsq1A,111.14886474609375,23.431079864501953,0.0,511,,413867644,,,2024-07-27 11:20:31.157,2024-07-27 11:20:31.175,00:00:00,20240727,2024-07-27,1722050431.157
odcpxxVCQieFEOqQf_aaOA,112.03673553466797,23.070575714111328,0.0,511,,413837924,,,2024-07-27 11:20:27.110,2024-07-27 11:20:27.126,00:00:00,20240727,2024-07-27,1722050427.11
nwSlHxqpQBuuDZKf8MbnhQ,111.15196228027344,23.4246826171875,0.0,511,,413848169,,,2024-07-27 11:20:20.591,2024-07-27 11:20:20.740,00:00:00,20240727,2024-07-27,1722050420.591
96VEXbgURY2GFQPnotX1BA,111.1528549194336,23.42363739013672,0.1,511,,413859423,,,2024-07-27 11:19:52.921,2024-07-27 11:19:52.944,00:00:00,20240727,2024-07-27,1722050392.921
K-qqqso1QhWz-eD5PP8r_g,112.72191619873047,22.37788963317871,0.0,511,,413837923,,,2024-07-27 11:19:41.245,2024-07-27 11:19:41.516,00:00:00,20240727,2024-07-27,1722050381.245
3HqKrH2cRc--Iky1qJIxEA,113.17926788330078,22.562850952148438,0.0,511,,413841065,,,2024-07-27 11:19:31.918,2024-07-27 11:19:31.940,00:00:00,20240727,2024-07-27,1722050371.918
N8pYhrR0S3CfvGkW6bCFDg,111.1488037109375,23.430444717407227,0.0,511,,413863924,,,2024-07-27 11:18:32.138,2024-07-27 11:18:32.150,00:00:00,20240727,2024-07-27,1722050312.138
pzZXr8vaSp-8eB2ctGOo1Q,113.21978759765625,21.930950164794922,0.0,511,,413837927,,,2024-07-27 11:18:29.860,2024-07-27 11:18:29.875,00:00:00,20240727,2024-07-27,1722050309.86
zhAtOUIrRbGMmPyNH3DeYw,111.14912414550781,23.43148422241211,0.0,511,,413860512,,,2024-07-27 11:18:08.398,2024-07-27 11:18:08.414,00:00:00,20240727,2024-07-27,1722050288.398
3tthSx2ET9WaLCjz0BKV5Q,111.13923645019531,23.434703826904297,0.0,511,,413866992,,,2024-07-27 11:17:44.329,2024-07-27 11:17:44.339,00:00:00,20240727,2024-07-27,1722050264.329
h2YARWKCSMiMJRcNU7231Q,111.14886474609375,23.431076049804688,0.0,511,,413867644,,,2024-07-27 11:17:30.977,2024-07-27 11:17:31.001,00:00:00,20240727,2024-07-27,1722050250.977
3R3KHMbKRVS53jjzO3dfQw,112.03668975830078,23.070587158203125,0.0,511,,413837924,,,2024-07-27 11:17:27.283,2024-07-27 11:17:27.304,00:00:00,20240727,2024-07-27,1722050247.283
oFsY-jm3TuWRL7vNSvSiCA,111.15196990966797,23.42467498779297,0.0,511,,413848169,,,2024-07-27 11:17:20.762,2024-07-27 11:17:20.774,00:00:00,20240727,2024-07-27,1722050240.762
3mmBU8J5R6ujGlqxKUgbbQ,111.15283966064453,23.423566818237305,0.0,511,,413859423,,,2024-07-27 11:16:52.968,2024-07-27 11:16:52.990,00:00:00,20240727,2024-07-27,1722050212.968
